gene	reference	direction	firstBase	lastBase
lprB	NC_000962.3	+	1424196	1424754
lprC	NC_000962.3	+	1424755	1425293
gene_1302	NC_000962.3	-	1425444	1425914
gene_1303	NC_000962.3	+	1426163	1427409
gene_1304	NC_000962.3	+	1427422	1430037
gene_1305	NC_000962.3	+	1430065	1431640
oppA	NC_000962.3	-	1431665	1433440
oppD	NC_000962.3	-	1433439	1435263
oppC	NC_000962.3	-	1435272	1436143
oppB	NC_000962.3	-	1436146	1437111
canA	NC_000962.3	+	1437328	1437811
cysD	NC_000962.3	+	1437908	1438900
gene_1312	NC_000962.3	+	1438911	1440745
gene_1313	NC_000962.3	+	1440813	1441284
gene_1314	NC_000962.3	+	1441356	1442710
gene_1315	NC_000962.3	+	1442766	1443399
gene_1316	NC_000962.3	-	1443489	1445041
gene_1317	NC_000962.3	+	1445063	1445368
gene_1318	NC_000962.3	-	1445501	1445829
argV	NC_000962.3	-	1446195	1446265
argS	NC_000962.3	+	1446384	1448029
lysA	NC_000962.3	+	1448028	1449368
thrA	NC_000962.3	+	1449382	1450691
thrC	NC_000962.3	+	1450705	1451772
thrB	NC_000962.3	+	1452001	1452944
rho	NC_000962.3	+	1453209	1455011
rpmE	NC_000962.3	+	1455170	1455402
prfA	NC_000962.3	+	1455496	1456566
hemK	NC_000962.3	+	1456570	1457538
gene_1329	NC_000962.3	+	1457558	1458205
rfe	NC_000962.3	+	1458297	1459507
gene_1331	NC_000962.3	+	1459771	1460251
atpB	NC_000962.3	+	1460245	1460993
atpE	NC_000962.3	+	1461044	1461285
atpF	NC_000962.3	+	1461329	1461834
atpH	NC_000962.3	+	1461849	1463174
atpA	NC_000962.3	+	1463230	1464875
atpG	NC_000962.3	+	1464889	1465793
atpD	NC_000962.3	+	1465842	1467301
atpC	NC_000962.3	+	1467320	1467676
gene_1340	NC_000962.3	+	1467696	1468128
gene_1341	NC_000962.3	-	1468179	1469505
gene_1342	NC_000962.3	-	1469672	1470244
murA	NC_000962.3	+	1470320	1471576
mcr3	NC_000962.3	+	1471623	1471740
rrs	NC_000962.3	+	1471845	1473377
rrl	NC_000962.3	+	1473666	1476792
rrf	NC_000962.3	+	1476902	1477012
ogt	NC_000962.3	-	1477138	1477630
alkA	NC_000962.3	-	1477630	1479113
gene_1350	NC_000962.3	-	1479205	1480820
gene_1351	NC_000962.3	-	1480894	1482499
gene_1352	NC_000962.3	-	1482520	1484209
gene_1353	NC_000962.3	+	1484287	1484957
gene_1354	NC_000962.3	+	1484985	1485277
gene_1355	NC_000962.3	-	1485317	1485763
fadA4	NC_000962.3	+	1485867	1487031
gene_1357	NC_000962.3	+	1487160	1488069
PE_PGRS24	NC_000962.3	-	1488162	1489958
glgB	NC_000962.3	-	1490121	1492309
glgE	NC_000962.3	-	1492319	1494422
glgP	NC_000962.3	+	1494564	1497152
dinG	NC_000962.3	-	1497207	1499180
pncB1	NC_000962.3	-	1499214	1500552
gene_1364	NC_000962.3	+	1500669	1500963
gene_1365	NC_000962.3	+	1500934	1501573
gene_1366	NC_000962.3	+	1501602	1502629
mec	NC_000962.3	+	1502642	1503080
cysO	NC_000962.3	+	1503103	1503380
cysM	NC_000962.3	+	1503393	1504362
gene_1370	NC_000962.3	+	1504357	1505074
murI	NC_000962.3	+	1505075	1505887
gene_1372	NC_000962.3	+	1505919	1506734
rphA	NC_000962.3	+	1506760	1507531
gene_1374	NC_000962.3	+	1507576	1508187
gene_1375	NC_000962.3	-	1508191	1508546
lprD	NC_000962.3	-	1508551	1508914
mbtL	NC_000962.3	+	1508975	1509282
mbtM	NC_000962.3	+	1509286	1510846
mbtN	NC_000962.3	+	1510854	1512000
mbtK	NC_000962.3	-	1511977	1512601
leuW	NC_000962.3	+	1512732	1512804
irtA	NC_000962.3	+	1513054	1515624
irtB	NC_000962.3	+	1515629	1517361
fabG2	NC_000962.3	+	1517497	1518228
gene_1385	NC_000962.3	+	1518236	1518552
gene_1386	NC_000962.3	+	1518765	1519125
gene_1387	NC_000962.3	-	1519206	1519978
gene_1388	NC_000962.3	-	1520004	1521872
moeY	NC_000962.3	-	1521885	1524028
gene_1390	NC_000962.3	-	1524033	1524820
gene_1391	NC_000962.3	-	1525297	1526214
gene_1392	NC_000962.3	+	1526612	1530091
gene_1393	NC_000962.3	+	1530174	1530925
gene_1394	NC_000962.3	+	1531350	1532361
PPE19	NC_000962.3	-	1532450	1533632
gene_1396	NC_000962.3	-	1533947	1534605
gene_1397	NC_000962.3	-	1534607	1535384
mcr15	NC_000962.3	-	1535424	1535713
gene_1399	NC_000962.3	-	1535687	1537638
rsfA	NC_000962.3	-	1537788	1538162
gene_1401	NC_000962.3	+	1538397	1539205
gene_1402	NC_000962.3	+	1539180	1539432
gene_1403	NC_000962.3	-	1539519	1540643
lprF	NC_000962.3	+	1541026	1541803
gene_1405	NC_000962.3	+	1543358	1544820
gene_1406	NC_000962.3	+	1544829	1545998
gene_1407	NC_000962.3	+	1546020	1546987
gene_1408	NC_000962.3	-	1547071	1547522
MTS1082	NC_000962.3	+	1547129	1547268
gene_1410	NC_000962.3	+	1547833	1549147
gene_1411	NC_000962.3	+	1549150	1550640
gene_1412	NC_000962.3	-	1550586	1551215
gene_1413	NC_000962.3	-	1551232	1552648
pyrR	NC_000962.3	+	1552662	1553235
pyrB	NC_000962.3	+	1553235	1554183
pyrC	NC_000962.3	+	1554193	1555480
gene_1417	NC_000962.3	+	1555482	1555968
carA	NC_000962.3	+	1555973	1557097
carB	NC_000962.3	+	1557104	1560441
pyrF	NC_000962.3	+	1560453	1561265
PE15	NC_000962.3	+	1561468	1561766
PPE20	NC_000962.3	+	1561776	1563380
mihF	NC_000962.3	+	1563696	1564264
gmk	NC_000962.3	+	1564405	1565018
rpoZ	NC_000962.3	+	1565095	1565421
dfp	NC_000962.3	+	1565443	1566692
metK	NC_000962.3	+	1566832	1568029
gene_1428	NC_000962.3	-	1568111	1569581
cyp132	NC_000962.3	-	1569587	1570961
gene_1430	NC_000962.3	+	1571053	1572073
PE_PGRS25	NC_000962.3	-	1572134	1573848
vapC10	NC_000962.3	-	1574118	1574504
vapB10	NC_000962.3	-	1574516	1574759
nlhH	NC_000962.3	-	1574856	1575801
lipI	NC_000962.3	-	1575842	1576788
gene_1436	NC_000962.3	+	1576931	1577528
priA	NC_000962.3	+	1577620	1579578
gene_1438	NC_000962.3	-	1579599	1580421
gene_1439	NC_000962.3	+	1580597	1581071
gene_1440	NC_000962.3	-	1581151	1581963
fmt	NC_000962.3	+	1582173	1583095
fmu	NC_000962.3	+	1583103	1584468
rpe	NC_000962.3	+	1584499	1585197
ribG	NC_000962.3	+	1585196	1586212
gene_1445	NC_000962.3	-	1586210	1587757
lprG	NC_000962.3	-	1587780	1588482
ribC	NC_000962.3	+	1588572	1589168
gene_1448	NC_000962.3	+	1589387	1589896
gene_1449	NC_000962.3	+	1589897	1590288
ribA2	NC_000962.3	+	1590399	1591670
ribH	NC_000962.3	+	1591672	1592149
gene_1452	NC_000962.3	+	1592156	1592613
lprH	NC_000962.3	+	1592645	1593324
gene_1454	NC_000962.3	+	1593506	1593974
uvrC	NC_000962.3	+	1594049	1595975
gene_1456	NC_000962.3	+	1595986	1596879
gene_1457	NC_000962.3	+	1596886	1597905
whiA	NC_000962.3	+	1597909	1598875
gene_1459	NC_000962.3	-	1598894	1599646
gene_1460	NC_000962.3	+	1599666	1601032
lipO	NC_000962.3	-	1601061	1602316
fadD12	NC_000962.3	-	1602327	1603927
gene_1463	NC_000962.3	-	1603933	1604752
gene_1464	NC_000962.3	+	1604886	1606139
PE16	NC_000962.3	+	1606392	1607966
gene_1466	NC_000962.3	+	1608083	1609843
gene_1467	NC_000962.3	+	1609855	1611265
gene_1468	NC_000962.3	+	1611439	1612241
gene_1469	NC_000962.3	+	1612257	1612385
gene_1470	NC_000962.3	-	1612347	1612949
gap	NC_000962.3	+	1613307	1614324
pgk	NC_000962.3	+	1614330	1615559
tpi	NC_000962.3	+	1615569	1616343
gene_1474	NC_000962.3	-	1616961	1617384
secG	NC_000962.3	+	1617842	1618067
PE_PGRS26	NC_000962.3	-	1618212	1619679
bisC	NC_000962.3	+	1619798	1622084
gene_1478	NC_000962.3	-	1622211	1622683
gene_1479	NC_000962.3	-	1623291	1623695
devB	NC_000962.3	-	1623714	1624448
opcA	NC_000962.3	-	1624460	1625358
zwf2	NC_000962.3	-	1625424	1626960
tal	NC_000962.3	-	1626958	1628079
tkt	NC_000962.3	-	1628102	1630199
PE_PGRS27	NC_000962.3	-	1630643	1634627
gene_1486	NC_000962.3	+	1635033	1635949
PE_PGRS28	NC_000962.3	-	1636007	1638229
gene_1488	NC_000962.3	+	1638385	1639645
qor	NC_000962.3	-	1639682	1640651
gene_1490	NC_000962.3	+	1640685	1641539
gene_1491	NC_000962.3	-	1641495	1642422
gene_1492	NC_000962.3	-	1642540	1643314
gene_1493	NC_000962.3	-	1643324	1644258
gene_1494	NC_000962.3	-	1644366	1646134
gene_1495	NC_000962.3	+	1646194	1646984
gene_1496	NC_000962.3	+	1646989	1649527
gene_1497	NC_000962.3	+	1649530	1650718
gene_1498	NC_000962.3	+	1650722	1651511
csd	NC_000962.3	+	1651522	1652768
gene_1500	NC_000962.3	+	1652769	1653255
gene_1501	NC_000962.3	+	1653237	1653577
fadE15	NC_000962.3	-	1653674	1655499
PE_PGRS29	NC_000962.3	-	1655608	1656716
ctpD	NC_000962.3	+	1656962	1658931
trxA	NC_000962.3	+	1658982	1659353
trxB1	NC_000962.3	+	1659375	1659734
echA12	NC_000962.3	+	1659762	1660614
gene_1508	NC_000962.3	+	1660663	1662280
gene_1509	NC_000962.3	+	1662385	1662565
gene_1510	NC_000962.3	-	1662648	1663203
acn	NC_000962.3	-	1663223	1666038
gene_1512	NC_000962.3	+	1666208	1666763
ripA	NC_000962.3	+	1666997	1668408
gene_1514	NC_000962.3	+	1668427	1669141
moxR1	NC_000962.3	+	1669285	1670411
gene_1516	NC_000962.3	+	1670419	1671365
gene_1517	NC_000962.3	+	1671378	1672378
gene_1518	NC_000962.3	-	1672458	1673297
fabG1	NC_000962.3	+	1673440	1674176
inhA	NC_000962.3	+	1674202	1675009
hemZ	NC_000962.3	+	1675022	1676050
gene_1522	NC_000962.3	-	1676025	1676874
gene_1523	NC_000962.3	+	1676943	1677370
gene_1524	NC_000962.3	+	1677404	1678536
gene_1525	NC_000962.3	+	1678554	1678903
gene_1526	NC_000962.3	+	1678950	1679172
gene_1527	NC_000962.3	+	1679324	1680623
gene_1528	NC_000962.3	-	1681213	1681961
mutA	NC_000962.3	+	1682160	1683997
mutB	NC_000962.3	+	1684007	1686249
mazE4	NC_000962.3	+	1686276	1686564
mazF4	NC_000962.3	+	1686569	1686884
gene_1533	NC_000962.3	+	1686888	1687882
lipL	NC_000962.3	+	1687944	1689223
gene_1535	NC_000962.3	-	1689308	1689916
gene_1536	NC_000962.3	-	1690135	1690346
gene_1537	NC_000962.3	+	1690411	1690802
gene_1538	NC_000962.3	+	1690849	1691871
gene_1539	NC_000962.3	+	1691889	1692707
gene_1540	NC_000962.3	+	1692929	1693817
gene_1541	NC_000962.3	-	1694001	1695136
gene_1542	NC_000962.3	-	1695287	1695940
gene_1543	NC_000962.3	-	1695942	1696437
gene_1544	NC_000962.3	-	1696728	1697417
gene_1545	NC_000962.3	+	1697359	1697858
gene_1546	NC_000962.3	-	1698097	1699888
gene_1547	NC_000962.3	+	1699868	1700221
gene_1548	NC_000962.3	+	1700218	1701091
gene_1549	NC_000962.3	+	1701301	1702585
gmdA	NC_000962.3	+	1703076	1704093
epiA	NC_000962.3	+	1704095	1705060
gene_1552	NC_000962.3	+	1705057	1705784
gene_1553	NC_000962.3	-	1705810	1706589
gene_1554	NC_000962.3	-	1706636	1707518
gene_1555	NC_000962.3	-	1707535	1708535
gene_1556	NC_000962.3	+	1708872	1709627
gene_1557	NC_000962.3	+	1709652	1710594
gene_1558	NC_000962.3	+	1710735	1710994
gene_1559	NC_000962.3	+	1711034	1712060
fadD25	NC_000962.3	+	1712308	1714046
mmpL12	NC_000962.3	-	1714173	1717608
gene_1562	NC_000962.3	+	1717656	1718695
gene_1563	NC_000962.3	+	1718734	1719969
wbbL2	NC_000962.3	+	1720022	1720802
gene_1565	NC_000962.3	-	1720787	1722055
pks5	NC_000962.3	-	1722083	1728407
papA4	NC_000962.3	-	1728952	1729450
fadD24	NC_000962.3	+	1729502	1731247
adh	NC_000962.3	+	1731378	1732470
gene_1570	NC_000962.3	+	1732475	1733036
gene_1571	NC_000962.3	-	1733117	1733549
gene_1572	NC_000962.3	+	1733615	1734729
gene_1573	NC_000962.3	+	1734735	1735407
gene_1574	NC_000962.3	+	1735977	1736206
ileS	NC_000962.3	+	1736525	1739639
dinX	NC_000962.3	+	1739861	1741241
ansA	NC_000962.3	-	1741215	1742191
lspA	NC_000962.3	+	1742252	1742845
gene_1579	NC_000962.3	+	1742852	1743769
lprI	NC_000962.3	-	1743782	1744368
glbN	NC_000962.3	-	1744433	1744831
gene_1582	NC_000962.3	+	1745065	1746088
gene_1583	NC_000962.3	+	1746099	1746888
gene_1584	NC_000962.3	+	1746924	1747145
gene_1585	NC_000962.3	+	1747197	1747623
dnaE1	NC_000962.3	+	1747693	1751248
PPE21	NC_000962.3	-	1751297	1753330
fadD11	NC_000962.3	+	1753719	1755431
plsB1	NC_000962.3	+	1755450	1757309
frdA	NC_000962.3	+	1757683	1759424
frdB	NC_000962.3	+	1759440	1760176
frdC	NC_000962.3	+	1760176	1760553
frdD	NC_000962.3	+	1760554	1760927
gene_1594	NC_000962.3	+	1761001	1761600
mmpL6	NC_000962.3	+	1761752	1762930
gene_1596	NC_000962.3	+	1762946	1763384
ilvA	NC_000962.3	+	1763432	1764710
vapB11	NC_000962.3	+	1764754	1764972
vapC11	NC_000962.3	+	1764981	1765382
treZ	NC_000962.3	-	1765406	1767133
treY	NC_000962.3	-	1767140	1769426
treX	NC_000962.3	-	1769444	1771600
gene_1603	NC_000962.3	-	1771640	1773823
gene_1604	NC_000962.3	-	1773928	1774615
gene_1605	NC_000962.3	-	1774866	1775141
bioA	NC_000962.3	+	1775399	1776699
bioF1	NC_000962.3	+	1776705	1777861
bioD	NC_000962.3	+	1777859	1778535
gene_1609	NC_000962.3	+	1778547	1779043
gene_1610	NC_000962.3	+	1779315	1779719
gene_1611	NC_000962.3	+	1779935	1780235
gene_1612	NC_000962.3	+	1780207	1780697
gene_1613	NC_000962.3	-	1780647	1782060
gene_1614	NC_000962.3	-	1782071	1782584
gene_1615	NC_000962.3	-	1782766	1783227
gene_1616	NC_000962.3	-	1783315	1783619
gene_1617	NC_000962.3	-	1783625	1783889
gene_1618	NC_000962.3	-	1783910	1784296
gene_1619	NC_000962.3	-	1784504	1785908
gene_1620	NC_000962.3	-	1785918	1786302
gene_1621	NC_000962.3	-	1786306	1786527
gene_1622	NC_000962.3	-	1786588	1787098
gene_1623	NC_000962.3	-	1787096	1788498
gene_1624	NC_000962.3	-	1788165	1789155
gene_1625	NC_000962.3	-	1789172	1789836
bioB	NC_000962.3	+	1790288	1791332
gene_1627	NC_000962.3	+	1791342	1791565
gene_1628	NC_000962.3	+	1791576	1792229
gene_1629	NC_000962.3	-	1792401	1793734
gene_1630	NC_000962.3	-	1794003	1794700
nadA	NC_000962.3	+	1794759	1795805
nadB	NC_000962.3	+	1795806	1797380
nadC	NC_000962.3	+	1797387	1798239
gene_1634	NC_000962.3	+	1798293	1799044
gene_1635	NC_000962.3	-	1799076	1799478
hisD	NC_000962.3	+	1799591	1800890
hisC1	NC_000962.3	+	1800899	1802038
hisB	NC_000962.3	+	1802036	1802667
hisH	NC_000962.3	+	1802669	1803280
hisA	NC_000962.3	+	1803298	1804028
impA	NC_000962.3	+	1804038	1804850
hisF	NC_000962.3	+	1804855	1805654
hisI	NC_000962.3	+	1805660	1805996
chaA	NC_000962.3	+	1806181	1807260
bcpB	NC_000962.3	-	1807297	1807762
trpE	NC_000962.3	+	1807902	1809449
gene_1647	NC_000962.3	+	1809446	1810149
trpC	NC_000962.3	+	1810239	1811056
trpB	NC_000962.3	+	1811129	1812350
trpA	NC_000962.3	+	1812365	1813165
lgt	NC_000962.3	+	1813170	1814571
gene_1652	NC_000962.3	+	1815258	1815691
gene_1653	NC_000962.3	+	1815684	1816074
pykA	NC_000962.3	+	1816191	1817606
tesB1	NC_000962.3	+	1817615	1818508
gene_1656	NC_000962.3	+	1818574	1820025
cydC	NC_000962.3	-	1819971	1821684
cydD	NC_000962.3	-	1821690	1823268
cydB	NC_000962.3	-	1823364	1824394
cydA	NC_000962.3	-	1824430	1825878
gene_1661	NC_000962.3	-	1826003	1826581
cya	NC_000962.3	-	1826613	1827939
leuV	NC_000962.3	-	1828023	1828079
gene_1664	NC_000962.3	+	1828185	1828796
gene_1665	NC_000962.3	-	1828870	1830072
gene_1666	NC_000962.3	-	1830073	1830556
polA	NC_000962.3	+	1830666	1833377
rpsA	NC_000962.3	+	1833550	1834985
coaE	NC_000962.3	+	1835019	1836234
gene_1670	NC_000962.3	-	1836391	1836827
uvrB	NC_000962.3	+	1837082	1839167
gene_1672	NC_000962.3	+	1839169	1840578
gene_1673	NC_000962.3	-	1840574	1842234
TB15_	NC_000962.3	+	1842458	1842888
gene_1675	NC_000962.3	-	1842905	1843687
uvrA	NC_000962.3	+	1843744	1846651
gene_1677	NC_000962.3	-	1846719	1846965
gene_1678	NC_000962.3	-	1846988	1848449
lysX	NC_000962.3	-	1848523	1852030
infC	NC_000962.3	+	1852275	1852878
rpmI	NC_000962.3	+	1852930	1853113
rplT	NC_000962.3	+	1853191	1853565
tsnR	NC_000962.3	+	1853605	1854388
gene_1684	NC_000962.3	-	1854406	1855447
PE17	NC_000962.3	+	1855771	1856687
gene_1686	NC_000962.3	+	1856781	1857720
gene_1687	NC_000962.3	+	1857734	1858535
pheS	NC_000962.3	+	1858737	1859752
pheT	NC_000962.3	+	1859760	1862253
PE_PGRS30	NC_000962.3	-	1862353	1865376
argC	NC_000962.3	+	1865579	1866634
argJ	NC_000962.3	+	1866635	1867842
argB	NC_000962.3	+	1867848	1868723
argD	NC_000962.3	+	1868728	1869920
argF	NC_000962.3	+	1869925	1870844
argR	NC_000962.3	+	1870846	1871352
argG	NC_000962.3	+	1871364	1872556
argH	NC_000962.3	+	1872645	1874049
pks10	NC_000962.3	+	1874167	1875212
pks7	NC_000962.3	+	1875309	1881684
pks8	NC_000962.3	+	1881708	1886503
pks17	NC_000962.3	+	1886513	1888012
pks9	NC_000962.3	+	1888031	1891071
pks11	NC_000962.3	+	1891227	1892280
cyp139	NC_000962.3	-	1892273	1893557
gene_1706	NC_000962.3	-	1893582	1895336
gene_1707	NC_000962.3	+	1895727	1896087
gene_1708	NC_000962.3	+	1896125	1896460
gene_1709	NC_000962.3	+	1896478	1896861
gene_1710	NC_000962.3	-	1896881	1898201
gene_1711	NC_000962.3	-	1898307	1899232
gene_1712	NC_000962.3	-	1899259	1899912
cmr	NC_000962.3	-	1900242	1900971
gene_1714	NC_000962.3	+	1901047	1901750
dsbF	NC_000962.3	+	1901754	1902295
gene_1716	NC_000962.3	+	1902398	1903296
fadE16	NC_000962.3	+	1903303	1904413
gene_1718	NC_000962.3	+	1904428	1905253
moeX	NC_000962.3	+	1905250	1906239
gene_1720	NC_000962.3	+	1906407	1907318
gene_1721	NC_000962.3	+	1907595	1910590
gene_1722	NC_000962.3	+	1910585	1910807
gene_1723	NC_000962.3	-	1910783	1911396
gene_1724	NC_000962.3	-	1911403	1912080
gene_1725	NC_000962.3	-	1912154	1912913
mpg	NC_000962.3	+	1912980	1913590
tyrS	NC_000962.3	+	1913601	1914869
G2	NC_000962.3	-	1914962	1915183
lprJ	NC_000962.3	+	1915535	1915908
gene_1730	NC_000962.3	+	1915956	1916699
gene_1731	NC_000962.3	+	1916704	1917758
gene_1732	NC_000962.3	+	1917757	1917932
tlyA	NC_000962.3	+	1917939	1918740
ppnK	NC_000962.3	+	1918748	1919660
recN	NC_000962.3	+	1919684	1921440
gene_1736	NC_000962.3	+	1921543	1922721
mctB	NC_000962.3	+	1922751	1923689
pyrG	NC_000962.3	+	1923835	1925588
gene_1739	NC_000962.3	+	1925582	1926205
gene_1740	NC_000962.3	+	1926203	1927132
gene_1741	NC_000962.3	-	1927212	1928573
gene_1742	NC_000962.3	-	1929135	1929872
cycA	NC_000962.3	-	1929793	1931449
PPE22	NC_000962.3	-	1931501	1932654
PPE23	NC_000962.3	-	1932702	1933869
gene_1746	NC_000962.3	-	1934485	1934646
gene_1747	NC_000962.3	+	1934886	1936335
gene_1748	NC_000962.3	+	1936361	1937311
scpA	NC_000962.3	+	1937312	1938144
scpB	NC_000962.3	+	1938149	1938837
gene_1751	NC_000962.3	+	1938845	1939596
cmk	NC_000962.3	+	1939598	1940287
engA	NC_000962.3	+	1940291	1941673
gene_1754	NC_000962.3	+	1941854	1942661
fadB3	NC_000962.3	+	1942662	1943573
gene_1756	NC_000962.3	+	1943577	1944397
gene_1757	NC_000962.3	+	1944410	1944748
gene_1758	NC_000962.3	+	1944809	1945623
gene_1759	NC_000962.3	+	1945643	1946417
proT	NC_000962.3	+	1946615	1946683
vapC12	NC_000962.3	-	1947032	1947418
vapB12	NC_000962.3	-	1947420	1947640
gene_1763	NC_000962.3	+	1947861	1949345
gene_1764	NC_000962.3	+	1949346	1950582
gene_1765	NC_000962.3	-	1950639	1951047
gene_1766	NC_000962.3	-	1951040	1951749
gene_1767	NC_000962.3	+	1951856	1953228
AS1726	NC_000962.3	-	1952297	1952500
gene_1769	NC_000962.3	+	1953270	1953830
gene_1770	NC_000962.3	-	1953864	1954626
gene_1771	NC_000962.3	-	1954632	1955560
gene_1772	NC_000962.3	-	1955692	1957237
gabD2	NC_000962.3	+	1957677	1959224
gene_1774	NC_000962.3	-	1959243	1959785
gene_1775	NC_000962.3	-	1959854	1960487
MTS1338	NC_000962.3	+	1960672	1960774
gene_1777	NC_000962.3	-	1960774	1961008
gene_1778	NC_000962.3	-	1961295	1961779
gene_1779	NC_000962.3	-	1961892	1962120
narX	NC_000962.3	-	1962235	1964184
narK2	NC_000962.3	-	1964186	1965362
gene_1782	NC_000962.3	+	1965661	1965935
gene_1783	NC_000962.3	-	1965955	1967636
vapB34	NC_000962.3	+	1967706	1967914
vapC34	NC_000962.3	+	1967916	1968165
gene_1786	NC_000962.3	+	1968177	1968901
pknE	NC_000962.3	+	1969005	1970704
gene_1788	NC_000962.3	-	1970994	1971383
idi	NC_000962.3	-	1971387	1971987
pknF	NC_000962.3	+	1972138	1973561
gene_1791	NC_000962.3	+	1973632	1976224
gene_1792	NC_000962.3	+	1976606	1977329
gene_1793	NC_000962.3	-	1977327	1977877
fadD1	NC_000962.3	-	1977968	1979562
gene_1795	NC_000962.3	+	1979620	1980999
gene_1796	NC_000962.3	+	1981130	1981578
PPE24	NC_000962.3	-	1981622	1984766
gene_1798	NC_000962.3	-	1984978	1986666
cut1	NC_000962.3	+	1989042	1989562
wag22	NC_000962.3	-	1989834	1992574
gene_1801	NC_000962.3	+	1993159	1994660
gene_1802	NC_000962.3	-	1994671	1995045
gene_1803	NC_000962.3	-	1995058	1995838
gene_1804	NC_000962.3	-	1997419	1998512
gene_1805	NC_000962.3	+	1999738	1999998
gene_1806	NC_000962.3	+	2000080	2000432
PE_PGRS31	NC_000962.3	+	2000617	2002468
gene_1808	NC_000962.3	+	2002628	2003864
gene_1809	NC_000962.3	+	2003880	2005158
gene_1810	NC_000962.3	+	2005165	2006442
gene_1811	NC_000962.3	+	2006637	2006940
gene_1812	NC_000962.3	-	2007022	2007757
gene_1813	NC_000962.3	+	2007834	2009169
gene_1814	NC_000962.3	+	2009178	2009990
gene_1815	NC_000962.3	-	2009996	2010547
cyp144	NC_000962.3	+	2010659	2011958
gene_1817	NC_000962.3	-	2012088	2012525
gene_1818	NC_000962.3	-	2012687	2014472
gene_1819	NC_000962.3	+	2014704	2015261
malQ	NC_000962.3	-	2015309	2017473
eccB5	NC_000962.3	+	2017742	2019251
eccC5	NC_000962.3	+	2019259	2023426
cyp143	NC_000962.3	-	2023453	2024626
gene_1824	NC_000962.3	+	2024828	2025026
PPE25	NC_000962.3	+	2025306	2026389
PE18	NC_000962.3	+	2026478	2026772
PPE26	NC_000962.3	+	2026789	2027969
PPE27	NC_000962.3	+	2028430	2029471
PE19	NC_000962.3	+	2029905	2030201
esxM	NC_000962.3	+	2030350	2030634
esxN	NC_000962.3	+	2030698	2030973
gene_1832	NC_000962.3	+	2031070	2031964
eccD5	NC_000962.3	+	2032239	2033751
mycP5	NC_000962.3	+	2033736	2035478
eccE5	NC_000962.3	+	2035482	2036696
eccA5	NC_000962.3	+	2036708	2038523
lppT	NC_000962.3	+	2039167	2039348
PPE28	NC_000962.3	+	2039458	2041418
PPE29	NC_000962.3	+	2042009	2043263
PPE30	NC_000962.3	+	2043383	2044768
PE_PGRS32	NC_000962.3	-	2044924	2046835
gene_1842	NC_000962.3	-	2047026	2047346
gene_1843	NC_000962.3	-	2047693	2048032
PE20	NC_000962.3	+	2048073	2048369
PPE32	NC_000962.3	+	2049928	2051149
PPE33	NC_000962.3	+	2051285	2052679
gene_1847	NC_000962.3	+	2052937	2053280
mgtC	NC_000962.3	+	2053443	2054139
gene_1849	NC_000962.3	-	2054161	2055350
gene_1850	NC_000962.3	-	2055681	2056109
erg3	NC_000962.3	+	2056524	2057417
gene_1852	NC_000962.3	+	2057535	2058188
gene_1853	NC_000962.3	+	2058256	2058959
gene_1854	NC_000962.3	+	2059595	2061052
PE_PGRS33	NC_000962.3	-	2061180	2062669
bacA	NC_000962.3	-	2062811	2064724
ilvG	NC_000962.3	+	2064801	2066438
secA2	NC_000962.3	+	2066460	2068879
pgsA2	NC_000962.3	+	2069083	2069704
gene_1860	NC_000962.3	+	2069701	2070617
gene_1861	NC_000962.3	+	2070660	2071010
gene_1862	NC_000962.3	+	2071036	2071906
gcvH	NC_000962.3	+	2071958	2072348
garA	NC_000962.3	+	2072597	2073079
gene_1865	NC_000962.3	+	2073086	2073824
gene_1866	NC_000962.3	+	2073946	2074431
gene_1867	NC_000962.3	+	2074848	2075517
gene_1868	NC_000962.3	+	2075573	2075821
gcvB	NC_000962.3	+	2075883	2078694
gene_1870	NC_000962.3	-	2078936	2079789
lipZ	NC_000962.3	+	2079832	2080696
gene_1872	NC_000962.3	-	2080706	2082580
gene_1873	NC_000962.3	-	2082609	2084629
glcB	NC_000962.3	-	2084758	2086976
vapC13	NC_000962.3	-	2087260	2087645
vapB13	NC_000962.3	-	2087654	2087903
PE_PGRS34	NC_000962.3	-	2087977	2089511
gene_1878	NC_000962.3	-	2089688	2090712
gene_1879	NC_000962.3	-	2090720	2092079
guaB1	NC_000962.3	-	2092263	2093691
gnd1	NC_000962.3	-	2093731	2095186
blaR	NC_000962.3	-	2095225	2096160
blaI	NC_000962.3	-	2096183	2096592
gene_1884	NC_000962.3	+	2096878	2097292
ureA	NC_000962.3	+	2097353	2097645
ureB	NC_000962.3	+	2097651	2097958
ureC	NC_000962.3	+	2097966	2099692
ureF	NC_000962.3	+	2099701	2100324
ureG	NC_000962.3	+	2100340	2101014
ureD	NC_000962.3	+	2101026	2101640
ndh	NC_000962.3	-	2101652	2103033
gene_1892	NC_000962.3	-	2103184	2104102
gene_1893	NC_000962.3	-	2104146	2104821
modA	NC_000962.3	+	2104986	2105764
modB	NC_000962.3	+	2105776	2106559
modC	NC_000962.3	+	2106581	2107682
apa	NC_000962.3	+	2107742	2108707
gene_1898	NC_000962.3	+	2109171	2109461
adhA	NC_000962.3	+	2109544	2110582
gene_1900	NC_000962.3	-	2110592	2111360
gene_1901	NC_000962.3	-	2111353	2112105
gene_1902	NC_000962.3	-	2112110	2112958
